t,Z,std
1,-0.0004628589771523238,0.010250892890908248
2,-0.00010157254700155467,0.010882756143991206
3,-0.0001410448599957449,0.0104688644649924
4,0.0021823024193088135,0.011203558278467605
5,0.00034651530535483553,0.01024230346170038
6,-0.0006115973180126736,0.010863139803593432
7,0.001543271017291907,0.010496124115701399
8,0.0009029178540694229,0.00944808820142165
9,0.0012333851157436302,0.009939422810304225
10,-0.00030845227880341007,0.010515719319214347
11,0.0008868530970647623,0.009877405064814894
12,-0.0007444903594435365,0.011312164016709484
13,-0.0008789148552102052,0.010997414019101382
14,0.0009513024266055542,0.010496561522471757
15,0.0002585343264423422,0.009547390555710732
16,0.0007059137564489858,0.011041557792354679
17,-0.0010725390374481973,0.008866854339067897
18,3.316332348883913e-7,0.011268299156048926
19,0.001161802510749304,0.0105189710583168
20,-0.0013458682168909217,0.009148800300888726
21,-0.0012327614454043473,0.010400468219530123
22,-0.0009904705595947707,0.010960082619457757
23,-0.0014895540562476451,0.010539654798808461
24,0.0017055381615236627,0.011254995821603362
25,-0.0009342616469010558,0.009930781622854807
26,0.00024055431420925464,0.010853092780062024
27,0.0003123902864109942,0.009983229648086062
28,0.0015143754714050692,0.012169081315640224
29,-0.00010746008237942715,0.009077289315017325
30,-0.00016855297049594078,0.011517184197676016
31,-0.0002708555445908151,0.011382591862428787
32,0.00023585620703057,0.009955464827046123
33,0.001103162594854506,0.010172052199110633
34,-0.0013149611057903608,0.010295057974398735
35,0.000359351548680312,0.009569871212276664
36,0.001987464049447904,0.01112600861908048
37,-0.00034947157835768,0.011044855065301874
38,-0.00035628302635339504,0.009815655786937645
39,0.0010035017926361045,0.011995431794049155
40,6.0659357741217925e-5,0.011258661322244337
41,0.0008739570160183816,0.00939701223335775
42,-0.00016310490004725183,0.009757800243032338
43,-0.00023381006547995228,0.010777690221507657
44,0.001036083212891099,0.011116548124057327
45,-0.0015311473364784567,0.010334484506465522
46,0.00030905294571544653,0.008438914793843785
47,0.0004055811010919136,0.009925894288534309
48,-0.0010825935827208672,0.010003890377267559
49,-1.4031402334606472e-5,0.00979666671359924
50,0.0008258589379252555,0.010046587715566253
51,0.0015260214298120477,0.010654065485366217
52,0.00019647705978639314,0.010115183651889913
53,0.00018230342079232276,0.008519242651356626
54,-0.00041972217030152747,0.010773104698934721
55,-0.0006534031559759443,0.008799909465996092
56,-0.001559649863576062,0.01044783660430879
57,0.0019293195192858139,0.01134921848588572
58,-0.0002877789725555519,0.010776282149926231
59,0.0013240625263527324,0.011109571755572268
60,0.0005562202893363808,0.010111873806494271
61,-0.0016031241074713762,0.010697538413739537
62,0.0004670427102940214,0.009752526183209457
63,0.0008307579632383436,0.008925570886223862
64,-9.31817493342077e-5,0.010946328758167992
65,0.0005542189897296706,0.010423984072996554
66,-0.0022587601202865713,0.010762786538543411
67,-0.0007313807257140377,0.010176687826037048
68,0.0011242256503896425,0.01022259011852896
69,-0.0006825660617992483,0.010836116823423357
70,-0.0007307766748815999,0.008933571439437295
71,0.0018380804502603713,0.009695311014251919
72,-0.0008571503147726379,0.01011154521112285
73,0.0010863987919331702,0.010286985073266662
74,0.001132633469331719,0.009432496155867016
75,-0.0016824319316059981,0.010861777834787789
76,0.001490930283010055,0.011189341660729128
77,0.00023163486801687426,0.010592930813904746
78,0.0002513419788847257,0.009615109388528617
79,-0.0002702543129067627,0.011153878610388237
80,0.0018152034238068959,0.008853977797874642
81,-0.0011075441536535066,0.009783806018729838
82,-0.00030260995803113653,0.009303829913921908
83,-0.0010013148657651016,0.008995823861506502
84,-0.000611279317174774,0.011274321806487552
85,-5.348619701065537e-5,0.009690163598531186
86,0.0023697467955627357,0.00968346879263817
87,-0.0002000068091305138,0.010214274071102685
88,-0.0006258111192446112,0.010405171554804455
89,0.00022279850577729916,0.01158950580554505
90,-0.0008885872770166909,0.010655303102906518
91,0.00015191864892834386,0.010435986417983142
92,0.000846953311152103,0.01017108675434482
93,-0.0009470197680458594,0.00947522382107301
94,-0.0008482498492176981,0.009998812442117894
95,-0.0004436228857208483,0.010294232462220112
96,-0.0007089213169621047,0.010376916063601126
97,-0.0011842589321970237,0.009441669357831202
98,-0.00023936526412843045,0.011042086087548721
99,-0.0023812872597327025,0.010671166891720782
100,0.0014478164174742065,0.011621331714301884
