t,Z,std
1,0.14000000000000024,0.995139703912486
2,0.20000000000000032,0.9847319278346616
3,0.12000000000000041,0.9977753031397185
4,0.1800000000000002,0.9886221408474208
5,0.12000000000000019,0.997775303139718
6,0.1400000000000003,0.9951397039124861
7,0.16000000000000011,0.9920899274977167
8,0.08000000000000027,1.0018165319240664
9,0.10000000000000023,0.9999999999999998
10,0.12000000000000022,0.997775303139718
11,0.08000000000000031,1.0018165319240664
12,0.1400000000000003,0.9951397039124861
13,0.20000000000000018,0.9847319278346616
14,0.22000000000000047,0.9804142600003947
15,0.1400000000000003,0.9951397039124861
16,0.0800000000000002,1.0018165319240664
17,2.375877272697835e-16,1.0050378152592125
18,0.16000000000000017,0.9920899274977167
19,0.1600000000000003,0.992089927497717
20,0.16000000000000017,0.9920899274977169
21,0.20000000000000026,0.9847319278346616
22,0.20000000000000026,0.9847319278346616
23,0.1400000000000003,0.9951397039124861
24,0.18000000000000024,0.9886221408474207
25,0.18000000000000024,0.9886221408474208
26,0.04000000000000032,1.0042334631373566
27,0.12000000000000027,0.9977753031397186
28,0.12000000000000023,0.9977753031397186
29,0.12000000000000012,0.997775303139718
30,0.20000000000000026,0.9847319278346616
31,0.10000000000000014,0.9999999999999997
32,0.1400000000000003,0.9951397039124861
33,0.2000000000000001,0.9847319278346616
34,0.16000000000000011,0.9920899274977167
35,0.28000000000000025,0.964836302648844
36,0.08000000000000028,1.0018165319240664
37,0.12000000000000027,0.9977753031397185
38,0.16000000000000042,0.992089927497717
39,0.10000000000000021,0.9999999999999998
40,0.20000000000000026,0.9847319278346616
41,0.14000000000000026,0.9951397039124861
42,0.16000000000000025,0.9920899274977169
43,0.18000000000000038,0.9886221408474208
44,0.14000000000000024,0.9951397039124861
45,0.08000000000000021,1.0018165319240664
46,0.12000000000000023,0.9977753031397185
47,0.20000000000000026,0.9847319278346616
48,0.1400000000000001,0.9951397039124859
49,0.12000000000000018,0.9977753031397179
50,0.16000000000000028,0.9920899274977169
51,0.040000000000000265,1.0042334631373566
52,0.12000000000000027,0.9977753031397185
53,0.18000000000000024,0.9886221408474208
54,0.10000000000000023,0.9999999999999998
55,0.08000000000000025,1.0018165319240664
56,0.20000000000000018,0.9847319278346617
57,0.10000000000000028,0.9999999999999998
58,0.20000000000000018,0.9847319278346616
59,0.12000000000000027,0.9977753031397187
60,0.14000000000000024,0.9951397039124861
61,0.16000000000000048,0.9920899274977176
62,0.12000000000000037,0.9977753031397186
63,0.12000000000000023,0.9977753031397185
64,0.020000000000000306,1.0048367875913833
65,1.9761969838327787e-16,1.0050378152592128
66,0.18000000000000024,0.9886221408474208
67,-0.01999999999999968,1.0048367875913833
68,0.12000000000000027,0.9977753031397185
69,0.16000000000000036,0.9920899274977169
70,0.12000000000000027,0.9977753031397185
71,0.20000000000000032,0.9847319278346618
72,0.040000000000000216,1.0042334631373564
73,0.12000000000000031,0.9977753031397185
74,0.06000000000000027,1.0032271160931838
75,0.04000000000000026,1.0042334631373566
76,0.10000000000000028,0.9999999999999998
77,0.1400000000000003,0.9951397039124861
78,0.08000000000000024,1.0018165319240664
79,0.1400000000000001,0.995139703912486
80,0.12000000000000012,0.9977753031397177
81,0.08000000000000038,1.0018165319240666
82,0.16000000000000006,0.9920899274977169
83,0.12000000000000037,0.9977753031397186
84,0.16000000000000025,0.992089927497717
85,0.2200000000000003,0.9804142600003946
86,0.22000000000000017,0.9804142600003944
87,0.18000000000000024,0.9886221408474208
88,0.16000000000000017,0.9920899274977169
89,0.12000000000000019,0.997775303139718
90,0.20000000000000046,0.9847319278346617
91,0.06000000000000036,1.0032271160931838
92,0.1600000000000004,0.992089927497717
93,0.12000000000000019,0.997775303139718
94,0.16000000000000025,0.9920899274977169
95,0.2000000000000004,0.9847319278346617
96,0.06000000000000016,1.0032271160931838
97,0.12000000000000018,0.997775303139718
98,0.06000000000000025,1.0032271160931838
99,0.14000000000000012,0.995139703912486
100,0.1400000000000003,0.9951397039124861
